2024-07-20T09:05:39.595,FE,20, 0, 0,95, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,15056,q1,0.03695939,q2,0.03639759,q3,0.01431589,q4,0.9985511,rollspeed,0.001576286,pitchspeed,-0.003052347,yawspeed,-0.001186799,repr_offset_q,,,sig ,Len,40,crc16,44268
2024-07-20T09:05:39.595,FE,1C, 0, 0,96, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,15124,roll,0.03175282,pitch,-0.0712982,yaw,3.066307,rollspeed,0.001011203,pitchspeed,-0.005512209,yawspeed,-0.001471343,,sig ,Len,36,crc16,5367
2024-07-20T09:05:39.705,FE, 2, 0, 0,97, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,1360
2024-07-20T09:05:39.721,FE,2A, 0, 0,98, 1, 1,    41,mavlink_rc_channels_t,time_boot_ms,15166,chan1_raw,1495,chan2_raw,1511,chan3_raw,1083,chan4_raw,1501,chan5_raw,1065,chan6_raw,1065,chan7_raw,1065,chan8_raw,1065,chan9_raw,1065,chan10_raw,1057,chan11_raw,1542,chan12_raw,1542,chan13_raw,1514,chan14_raw,1514,chan15_raw,1514,chan16_raw,1514,chan17_raw,998,chan18_raw,998,chancount,18,rssi,45,,sig ,Len,50,crc16,35689
2024-07-20T09:05:39.815,FE, 2, 0, 0,99, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,33649
2024-07-20T09:05:39.831,FE,1C, 0, 0,9A, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,15277,roll,0.03226696,pitch,-0.0709081,yaw,3.065927,rollspeed,-0.001372728,pitchspeed,-0.001247077,yawspeed,0.0009930602,,sig ,Len,36,crc16,36236
2024-07-20T09:05:39.831,FE,20, 0, 0,9B, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,15277,q1,0.03722362,q2,0.03602646,q3,0.01477056,q4,0.9985482,rollspeed,-0.001372728,pitchspeed,-0.001247077,yawspeed,0.0009930602,repr_offset_q,,,sig ,Len,40,crc16,22834
2024-07-20T09:05:39.956,FE, 2, 0, 0,9C, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,29650
2024-07-20T09:05:39.956,FE,25, 0, 0,9D, 1, 1,    53,mavlink_attitude_target_t,time_boot_ms,15390,q,,body_roll_rate,-0.2100001,body_pitch_rate,0.460802,body_yaw_rate,-0.003183053,thrust,0.001,type_mask,0,,sig ,Len,45,crc16,62084
2024-07-20T09:05:39.956,FE,14, 0, 0,9E, 1, 1,    4A,mavlink_vfr_hud_t,airspeed,0,groundspeed,0.02277478,alt,399.3258,climb,0.01656673,heading,175,throttle,0,,sig ,Len,28,crc16,43845
2024-07-20T09:05:39.956,FE,1C, 0, 0,9F, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,15435,roll,0.03234721,pitch,-0.07090442,yaw,3.065571,rollspeed,0.00113984,pitchspeed,-0.002353481,yawspeed,-0.0007195692,,sig ,Len,36,crc16,6697
2024-07-20T09:05:39.971,FE, 2, 0, 0,A0, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,5122
2024-07-20T09:05:39.971,FE,20, 0, 0,A1, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,15502,q1,0.03746547,q2,0.03609882,q3,0.01476586,q4,0.9985365,rollspeed,-0.0002221335,pitchspeed,-0.003135541,yawspeed,-0.0009662281,repr_offset_q,,,sig ,Len,40,crc16,38877
2024-07-20T09:05:40.050,FE, 2, 0, 0,A2, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,9145
2024-07-20T09:05:40.050,FE,1C, 0, 0,A3, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,15584,roll,0.032236,pitch,-0.07109252,yaw,3.065372,rollspeed,-0.000234082,pitchspeed,-0.002816562,yawspeed,-0.000245858,,sig ,Len,36,crc16,20913
2024-07-20T09:05:40.176,FE,2A, 0, 0,A4, 1, 1,    41,mavlink_rc_channels_t,time_boot_ms,15601,chan1_raw,1495,chan2_raw,1511,chan3_raw,1083,chan4_raw,1501,chan5_raw,1065,chan6_raw,1065,chan7_raw,1065,chan8_raw,1065,chan9_raw,1065,chan10_raw,1057,chan11_raw,1542,chan12_raw,1542,chan13_raw,1514,chan14_raw,1514,chan15_raw,1514,chan16_raw,1514,chan17_raw,998,chan18_raw,998,chancount,18,rssi,45,,sig ,Len,50,crc16,30121
2024-07-20T09:05:40.287,FE, 2, 0, 0,A5, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,58529
2024-07-20T09:05:40.287,FE,1C, 0, 0,A6, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,15732,roll,0.03215815,pitch,-0.07105777,yaw,3.065295,rollspeed,-0.0003279779,pitchspeed,0.0004411935,yawspeed,-0.001780033,,sig ,Len,36,crc16,62358
2024-07-20T09:05:40.320,FE,20, 0, 0,A7, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,15732,q1,0.03753986,q2,0.03610381,q3,0.01470195,q4,0.9985346,rollspeed,-0.0003279779,pitchspeed,0.0004411935,yawspeed,-0.001780033,repr_offset_q,,,sig ,Len,40,crc16,21818
2024-07-20T09:05:40.320,FE, 9, 0, 0,A8, 1, 1,     0,mavlink_heartbeat_t,custom_mode,196608,type,2,autopilot,12,base_mode,81,system_status,3,mavlink_version,3,,sig ,Len,17,crc16,32086
2024-07-20T09:05:40.320,FE,33, 0, 0,A9, 1, 1,    55,mavlink_position_target_local_ned_t,time_boot_ms,15750,x,NaN,y,NaN,z,NaN,vx,NaN,vy,NaN,vz,NaN,afx,0,afy,0,afz,100,yaw,3.065283,yaw_rate,0,type_mask,63,coordinate_frame,1,,sig ,Len,59,crc16,38794
2024-07-20T09:05:40.495,FE, 6, 0, 0, 4,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,2,start_stop,1,,sig ,Len,14,crc16,49591
2024-07-20T09:05:40.495,FE, 6, 0, 0, 5,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,2,start_stop,1,,sig ,Len,14,crc16,37926
