2024-07-10T09:24:51.993,FD,11, 0, 0,A2, 1, 1,    4A,mavlink_vfr_hud_t,airspeed,0,groundspeed,0.03790217,alt,283.747,climb,0.02986291,heading,177,throttle,0,,sig ,Len,29,crc16,48467
2024-07-10T09:24:51.993,FD,1C, 0, 0,A3, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,864846,roll,0.0796086,pitch,-0.0808245,yaw,3.091343,rollspeed,0.003445355,pitchspeed,-0.0001347969,yawspeed,-0.002474744,,sig ,Len,40,crc16,24603
2024-07-10T09:24:51.993,FD, 1, 0, 0,A4, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,41820
2024-07-10T09:24:51.993,FD,33, 0, 0,A5, 1, 1,    55,mavlink_position_target_local_ned_t,time_boot_ms,864914,x,NaN,y,NaN,z,NaN,vx,NaN,vy,NaN,vz,NaN,afx,0,afy,0,afz,100,yaw,3.090606,yaw_rate,0,type_mask,63,coordinate_frame,1,,sig ,Len,63,crc16,45426
2024-07-10T09:24:52.056,FD, 1, 0, 0,A6, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,43059
2024-07-10T09:24:52.212,FD,1C, 0, 0,A7, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,865085,roll,0.07965921,pitch,-0.08063465,yaw,3.089016,rollspeed,-0.003083857,pitchspeed,-0.0008362763,yawspeed,-0.0009747497,,sig ,Len,40,crc16,64651
2024-07-10T09:24:52.212,FD,20, 0, 0,A8, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,865103,q1,0.02473675,q2,0.04135597,q3,0.03872081,q4,0.9980874,rollspeed,0.0003090391,pitchspeed,-0.01141628,yawspeed,-0.001688951,repr_offset_q,,,sig ,Len,44,crc16,45265
2024-07-10T09:24:52.212,FD, 1, 0, 0,A9, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,6529
2024-07-10T09:24:52.290,FD, 1, 0, 0,AA, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,37713
2024-07-10T09:24:52.464,FD,46, 0, 0,AB, 1, 1,   154,mavlink_utm_global_position_t,time,1720574692121832,lat,295981949,lon,1063014508,alt,257383,relative_alt,0,next_lat,0,next_lon,0,next_alt,0,vx,1,vy,-4,vz,-2,h_acc,934,v_acc,2409,vel_acc,14,update_rate,0,uas_id,,flight_state,1,flags,111,,sig ,Len,82,crc16,15970
2024-07-10T09:24:52.464,FD,1C, 0, 0,AC, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,865324,roll,0.07984889,pitch,-0.08084635,yaw,3.086698,rollspeed,-0.002654563,pitchspeed,0.01180308,yawspeed,-0.0008380484,,sig ,Len,40,crc16,26822
2024-07-10T09:24:52.464,FD,2A, 0, 0,AD, 1, 1,    41,mavlink_rc_channels_t,time_boot_ms,865326,chan1_raw,1495,chan2_raw,1502,chan3_raw,1486,chan4_raw,1502,chan5_raw,1933,chan6_raw,1065,chan7_raw,1065,chan8_raw,1065,chan9_raw,1065,chan10_raw,1932,chan11_raw,1542,chan12_raw,1542,chan13_raw,1514,chan14_raw,1514,chan15_raw,1514,chan16_raw,1514,chan17_raw,998,chan18_raw,998,chancount,18,rssi,45,,sig ,Len,54,crc16,59423
2024-07-10T09:24:52.464,FD, 1, 0, 0,AE, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,34191
2024-07-10T09:24:52.543,FD,1C, 0, 0,AF, 1, 1,    21,mavlink_global_position_int_t,time_boot_ms,865437,lat,295981950,lon,1063014507,alt,283748,relative_alt,194,vx,1,vy,-4,vz,-2,hdg,17679,,sig ,Len,40,crc16,11605
