2024-07-09T17:12:15.820,FE,1E, 0, 0,48, 1, 1,    18,mavlink_gps_raw_int_t,time_usec,24866439,lat,295982334,lon,1063014307,alt,292514,eph,61,epv,96,vel,5,cog,29866,fix_type,3,satellites_visible,23,alt_ellipsoid,0,h_acc,0,v_acc,0,vel_acc,0,hdg_acc,0,yaw,0,,sig ,Len,38,crc16,55930
2024-07-09T17:12:15.820,FE,1C, 0, 0,49, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,24948,roll,0.0479419,pitch,0.04452092,yaw,3.099154,rollspeed,0.0005584378,pitchspeed,-0.000320311,yawspeed,-0.0001276615,,sig ,Len,36,crc16,22178
2024-07-09T17:12:15.910,FE, 2, 0, 0,4A, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,57293
2024-07-09T17:12:16.037,FE, 2, 0, 0,4B, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,16408
2024-07-09T17:12:16.051,FE,1C, 0, 0,4C, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,25187,roll,0.0480608,pitch,0.04445171,yaw,3.099292,rollspeed,0.0007952942,pitchspeed,-0.002204728,yawspeed,0.002563984,,sig ,Len,36,crc16,54763
2024-07-09T17:12:16.145,FE, 2, 0, 0,4D, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,6357
2024-07-09T17:12:16.145,FE,20, 0, 0,4E, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,25228,q1,0.02166376,q2,-0.02169617,q3,0.0244767,q4,0.9992302,rollspeed,0.000573065,pitchspeed,0.0008897457,yawspeed,0.002666035,repr_offset_q,,,sig ,Len,40,crc16,50741
2024-07-09T17:12:16.161,FE, 2, 0, 0,4F, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,12142
2024-07-09T17:12:16.161,FE,14, 0, 0,50, 1, 1,    4A,mavlink_vfr_hud_t,airspeed,0,groundspeed,0.03014222,alt,293.3992,climb,-0.1224811,heading,177,throttle,0,,sig ,Len,28,crc16,63518
2024-07-09T17:12:16.396,FE, 2, 0, 0,51, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,7302
2024-07-09T17:12:16.396,FE,1C, 0, 0,52, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,25417,roll,0.04810882,pitch,0.04445039,yaw,3.099346,rollspeed,-0.001534766,pitchspeed,0.0006732907,yawspeed,0.00236926,,sig ,Len,36,crc16,11279
2024-07-09T17:12:16.396,FE,1C, 0, 0,53, 1, 1,    21,mavlink_global_position_int_t,time_boot_ms,25485,lat,295982341,lon,1063014288,alt,293363,relative_alt,-415,vx,0,vy,3,vz,12,hdg,17758,,sig ,Len,36,crc16,28848
