2024-07-09T17:26:38.703,FE,20, 0, 0,F0, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,11823,q1,0.03429353,q2,-0.01276051,q3,-0.004274983,q4,0.9993213,rollspeed,0.001404865,pitchspeed,-0.002665537,yawspeed,0.00247503,repr_offset_q,,,sig ,Len,40,crc16,16883
2024-07-09T17:26:38.703,FE, 2, 0, 0,F1, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,63768
2024-07-09T17:26:38.703,FE,1C, 0, 0,F2, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,11904,roll,-0.009427978,pitch,0.0250661,yaw,3.072941,rollspeed,-0.0007971303,pitchspeed,-0.002657012,yawspeed,0.004871805,,sig ,Len,36,crc16,20453
2024-07-09T17:26:38.828,FE,20, 0, 0,F3, 1, 1,    8D,mavlink_altitude_t,time_usec,12006612,altitude_monotonic,391.8771,altitude_amsl,391.8771,altitude_local,-0.2266578,altitude_relative,-0.2266578,altitude_terrain,NaN,bottom_clearance,NaN,,sig ,Len,40,crc16,39493
2024-07-09T17:26:38.880,FE,25, 0, 0,F4, 1, 1,    53,mavlink_attitude_target_t,time_boot_ms,11999,q,,body_roll_rate,0.06086889,body_pitch_rate,-0.162674,body_yaw_rate,-0.0003811204,thrust,0.001,type_mask,0,,sig ,Len,45,crc16,31969
2024-07-09T17:26:38.880,FE, 2, 0, 0,F5, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,38510
2024-07-09T17:26:38.880,FE, 2, 0, 0,F6, 1, 1,    F5,mavlink_extended_sys_state_t,vtol_state,0,landed_state,1,,sig ,Len,10,crc16,4270
2024-07-09T17:26:38.880,FE,1C, 0, 0,F7, 1, 1,    20,mavlink_local_position_ned_t,time_boot_ms,12017,x,0.04025415,y,0.01046245,z,0.226672,vx,0.02672105,vy,0.01011374,vz,0.009223412,,sig ,Len,36,crc16,1159
2024-07-09T17:26:38.880,FE,2A, 0, 0,F8, 1, 1,    41,mavlink_rc_channels_t,time_boot_ms,12004,chan1_raw,1495,chan2_raw,1502,chan3_raw,1061,chan4_raw,1502,chan5_raw,1065,chan6_raw,1065,chan7_raw,1065,chan8_raw,1065,chan9_raw,1065,chan10_raw,1057,chan11_raw,1542,chan12_raw,1542,chan13_raw,1514,chan14_raw,1514,chan15_raw,1514,chan16_raw,1514,chan17_raw,998,chan18_raw,998,chancount,18,rssi,45,,sig ,Len,50,crc16,44569
2024-07-09T17:26:38.883,FE, E, 0, 0,F9, 1, 1,    1D,mavlink_scaled_pressure_t,time_boot_ms,11976,press_abs,967.04,press_diff,0,temperature,3756,temperature_press_diff,0,,sig ,Len,22,crc16,9053
2024-07-09T17:26:38.883,FE,1F, 0, 0,FA, 1, 1,     1,mavlink_sys_status_t,onboard_control_sensors_present,35717133,onboard_control_sensors_enabled,35717133,onboard_control_sensors_health,572620863,load,263,voltage_battery,15261,current_battery,0,drop_rate_comm,0,errors_comm,0,errors_count1,0,errors_count2,0,errors_count3,0,errors_count4,0,battery_remaining,36,,sig ,Len,39,crc16,55948
2024-07-09T17:26:38.883,FE,14, 0, 0,FB, 1, 1,    4A,mavlink_vfr_hud_t,airspeed,0,groundspeed,0.02824365,alt,392.0594,climb,-0.00920602,heading,176,throttle,0,,sig ,Len,28,crc16,53320
2024-07-09T17:26:38.884,FE,1C, 0, 0,FD, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,12058,roll,-0.009367271,pitch,0.02500412,yaw,3.073072,rollspeed,-0.0007249271,pitchspeed,0.001884151,yawspeed,0.001945684,,sig ,Len,36,crc16,18856
2024-07-09T17:26:38.896,FE,20, 0, 0,FE, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,12058,q1,0.03419201,q2,-0.01265468,q3,-0.00425228,q4,0.9993261,rollspeed,-0.0007249271,pitchspeed,0.001884151,yawspeed,0.001945684,repr_offset_q,,,sig ,Len,40,crc16,51988
2024-07-09T17:26:39.024,FE, 2, 0, 0,FF, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,32569
2024-07-09T17:26:39.040,FE,1C, 0, 0, 0, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,12202,roll,-0.00923688,pitch,0.02493091,yaw,3.073294,rollspeed,0.003334698,pitchspeed,-0.0008037672,yawspeed,-3.248209E-05,,sig ,Len,36,crc16,49242
2024-07-09T17:26:39.040,FE, 2, 0, 0, 1, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,28233
2024-07-09T17:26:39.040,FE,20, 0, 0, 2, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,12274,q1,0.03402425,q2,-0.01262314,q3,-0.004203231,q4,0.9993325,rollspeed,0.0004717506,pitchspeed,-0.0006947471,yawspeed,0.003895375,repr_offset_q,,,sig ,Len,40,crc16,53129
