2024-07-08T10:22:35.623,FE, 2, 0, 0,E1, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,19665
2024-07-08T10:22:35.623,FE,20, 0, 0,E2, 1, 1,    8D,mavlink_altitude_t,time_usec,86863476,altitude_monotonic,413.8982,altitude_amsl,284.4925,altitude_local,-1.795307,altitude_relative,0.2367791,altitude_terrain,NaN,bottom_clearance,NaN,,sig ,Len,40,crc16,6299
2024-07-08T10:22:35.623,FE, 2, 0, 0,E3, 1, 1,    F5,mavlink_extended_sys_state_t,vtol_state,0,landed_state,1,,sig ,Len,10,crc16,21956
2024-07-08T10:22:35.623,FE,1C, 0, 0,E4, 1, 1,    20,mavlink_local_position_ned_t,time_boot_ms,86865,x,-1.183304,y,-0.4641388,z,1.794417,vx,0.02213206,vy,0.02012897,vz,-0.0527342,,sig ,Len,36,crc16,62027
2024-07-08T10:22:35.623,FE, E, 0, 0,E5, 1, 1,    1D,mavlink_scaled_pressure_t,time_boot_ms,86808,press_abs,964.52,press_diff,0,temperature,3918,temperature_press_diff,0,,sig ,Len,22,crc16,33987
2024-07-08T10:22:35.623,FE,1F, 0, 0,E6, 1, 1,     1,mavlink_sys_status_t,onboard_control_sensors_present,35651629,onboard_control_sensors_enabled,35717165,onboard_control_sensors_health,572555327,load,264,voltage_battery,16599,current_battery,0,drop_rate_comm,0,errors_comm,0,errors_count1,0,errors_count2,0,errors_count3,0,errors_count4,0,battery_remaining,100,,sig ,Len,39,crc16,29901
2024-07-08T10:22:35.623,FE,1C, 0, 0,E8, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,86901,roll,0.02306296,pitch,-0.02926853,yaw,3.096681,rollspeed,-0.0002241082,pitchspeed,-0.002093066,yawspeed,0.0005079331,,sig ,Len,36,crc16,41104
2024-07-08T10:22:35.843,FE, 2, 0, 0,E9, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,37437
2024-07-08T10:22:35.843,FE,2A, 0, 0,EA, 1, 1,    41,mavlink_rc_channels_t,time_boot_ms,87005,chan1_raw,1495,chan2_raw,1502,chan3_raw,1062,chan4_raw,1504,chan5_raw,1065,chan6_raw,1065,chan7_raw,1065,chan8_raw,1065,chan9_raw,1065,chan10_raw,1057,chan11_raw,1542,chan12_raw,1542,chan13_raw,1514,chan14_raw,1514,chan15_raw,1514,chan16_raw,1514,chan17_raw,998,chan18_raw,998,chancount,18,rssi,45,,sig ,Len,50,crc16,36438
2024-07-08T10:22:35.843,FE, 2, 0, 0,EB, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,42374
2024-07-08T10:22:35.843,FE,20, 0, 0,EC, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,87072,q1,0.02227183,q2,0.01483527,q3,0.0112185,q4,0.999579,rollspeed,0.0002151499,pitchspeed,0.003315392,yawspeed,-0.001876617,repr_offset_q,,,sig ,Len,40,crc16,32988
