2024-07-16T19:49:38.690,FE,20, 0, 0,99, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,106973,q1,0.1320763,q2,0.01831109,q3,-0.001430193,q4,-0.9910694,rollspeed,0.0007163216,pitchspeed,-0.001287995,yawspeed,0.002483326,repr_offset_q,,,sig ,Len,40,crc16,54431
2024-07-16T19:49:38.782,FE, 2, 0, 0,9A, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,11039
2024-07-16T19:49:38.782,FE,14, 0, 0,9B, 1, 1,    4A,mavlink_vfr_hud_t,airspeed,0,groundspeed,0.01657895,alt,293.5665,climb,0.05129036,heading,195,throttle,0,,sig ,Len,28,crc16,4977
2024-07-16T19:49:38.783,FE, 2, 0, 0,9C, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,29650
2024-07-16T19:49:38.798,FE,2A, 0, 0,9D, 1, 1,    41,mavlink_rc_channels_t,time_boot_ms,107159,chan1_raw,1494,chan2_raw,1506,chan3_raw,1061,chan4_raw,1501,chan5_raw,1065,chan6_raw,1065,chan7_raw,1065,chan8_raw,1065,chan9_raw,1933,chan10_raw,1057,chan11_raw,1542,chan12_raw,1542,chan13_raw,1514,chan14_raw,1514,chan15_raw,1514,chan16_raw,1514,chan17_raw,998,chan18_raw,998,chancount,18,rssi,45,,sig ,Len,50,crc16,55015
2024-07-16T19:49:38.798,FE,1C, 0, 0,9E, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,107171,roll,0.007651625,pitch,0.03600362,yaw,-2.876139,rollspeed,-0.002337479,pitchspeed,0.0005040896,yawspeed,0.0003542656,,sig ,Len,36,crc16,7067
2024-07-16T19:49:38.891,FE, 2, 0, 0,9F, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,56252
2024-07-16T19:49:38.891,FE,1C, 0, 0,A0, 1, 1,    21,mavlink_global_position_int_t,time_boot_ms,107279,lat,295982135,lon,1063015613,alt,293578,relative_alt,318,vx,1,vy,0,vz,-4,hdg,19521,,sig ,Len,36,crc16,44070
2024-07-16T19:49:39.032,FE,20, 0, 0,A1, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,107333,q1,0.1323991,q2,0.01832087,q3,-0.001380229,q4,-0.9910262,rollspeed,4.524866E-05,pitchspeed,0.003025148,yawspeed,-5.78718E-06,repr_offset_q,,,sig ,Len,40,crc16,6938
2024-07-16T19:49:39.032,FE, 2, 0, 0,A2, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,9145
2024-07-16T19:49:39.033,FE,1C, 0, 0,A3, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,107410,roll,0.007525734,pitch,0.03590709,yaw,-2.875711,rollspeed,-0.001062996,pitchspeed,-0.003852539,yawspeed,0.002008463,,sig ,Len,36,crc16,40788
2024-07-16T19:49:39.033,FE,20, 0, 0,A4, 1, 1,    8D,mavlink_altitude_t,time_usec,107423467,altitude_monotonic,404.8853,altitude_amsl,293.5888,altitude_local,-2.080533,altitude_relative,0.3288429,altitude_terrain,NaN,bottom_clearance,NaN,,sig ,Len,40,crc16,38239
2024-07-16T19:49:39.033,FE,25, 0, 0,A5, 1, 1,    53,mavlink_attitude_target_t,time_boot_ms,107414,q,,body_roll_rate,-0.04895091,body_pitch_rate,-0.2333694,body_yaw_rate,0.0003339187,thrust,0.001,type_mask,0,,sig ,Len,45,crc16,20744
2024-07-16T19:49:39.141,FE, 2, 0, 0,A6, 1, 1,    F5,mavlink_extended_sys_state_t,vtol_state,0,landed_state,1,,sig ,Len,10,crc16,25185
2024-07-16T19:49:39.141,FE,1C, 0, 0,A7, 1, 1,    20,mavlink_local_position_ned_t,time_boot_ms,107432,x,-0.687328,y,2.286666,z,2.079194,vx,0.01408761,vy,-0.006025002,vz,-0.04483231,,sig ,Len,36,crc16,24613
2024-07-16T19:49:39.142,FE, E, 0, 0,A8, 1, 1,    1D,mavlink_scaled_pressure_t,time_boot_ms,107386,press_abs,965.53,press_diff,0,temperature,4186,temperature_press_diff,0,,sig ,Len,22,crc16,52203
2024-07-16T19:49:39.188,FE,1F, 0, 0,A9, 1, 1,     1,mavlink_sys_status_t,onboard_control_sensors_present,35717165,onboard_control_sensors_enabled,35717165,onboard_control_sensors_health,841056319,load,265,voltage_battery,16479,current_battery,0,drop_rate_comm,0,errors_comm,0,errors_count1,0,errors_count2,0,errors_count3,0,errors_count4,0,battery_remaining,87,,sig ,Len,39,crc16,62965
2024-07-16T19:49:39.188,FE, 2, 0, 0,AA, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,64853
2024-07-16T19:49:39.189,FE,33, 0, 0,AC, 1, 1,    55,mavlink_position_target_local_ned_t,time_boot_ms,107469,x,NaN,y,NaN,z,NaN,vx,NaN,vy,NaN,vz,NaN,afx,0,afy,0,afz,100,yaw,-2.875618,yaw_rate,0,type_mask,63,coordinate_frame,1,,sig ,Len,59,crc16,30764
2024-07-16T19:49:39.189,FE, 2, 0, 0,AD, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,14925
2024-07-16T19:49:39.189,FE,24, 0, 0,AE, 1, 1,    93,mavlink_battery_status_t,current_consumed,0,energy_consumed,-1,temperature,32767,voltages,,current_battery,0,id,0,battery_function,1,type,1,battery_remaining,87,time_remaining,0,charge_state,0,voltages_ext,,mode,0,fault_bitmask,0,,sig ,Len,44,crc16,12211
2024-07-16T19:49:39.189,FE,2A, 0, 0,AF, 1, 1,    E6,mavlink_estimator_status_t,time_usec,107558978,vel_ratio,0.01726897,pos_horiz_ratio,0.008656471,pos_vert_ratio,0.05280795,mag_ratio,0.002720429,hagl_ratio,0,tas_ratio,0,pos_horiz_accuracy,0.1843592,pos_vert_accuracy,0.1951451,flags,831,,sig ,Len,50,crc16,19938
2024-07-16T19:49:39.235,FE,1C, 0, 0,B0, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,107648,roll,0.007583762,pitch,0.03607285,yaw,-2.875356,rollspeed,0.001801625,pitchspeed,0.005286706,yawspeed,-0.0005244542,,sig ,Len,36,crc16,48388
2024-07-16T19:49:39.343,FE, 2, 0, 0,B1, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,10,crc16,15902
2024-07-16T19:49:39.359,FE,20, 0, 0,B2, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,107689,q1,0.1326588,q2,0.018379,q3,-0.001351335,q4,-0.9909905,rollspeed,0.0005861158,pitchspeed,0.0005405582,yawspeed,0.001104323,repr_offset_q,,,sig ,Len,40,crc16,37593
2024-07-16T19:49:39.359,FE, 9, 0, 0,B3, 1, 1,     0,mavlink_heartbeat_t,custom_mode,196608,type,2,autopilot,12,base_mode,81,system_status,3,mavlink_version,3,,sig ,Len,17,crc16,51164
2024-07-16T19:49:39.613,FE, 6, 0, 0,54,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,2,start_stop,1,,sig ,Len,14,crc16,32247
2024-07-16T19:49:39.613,FE, 6, 0, 0,55,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,2,start_stop,1,,sig ,Len,14,crc16,10342
2024-07-16T19:49:39.615,FE, 6, 0, 0,56,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,6,start_stop,1,,sig ,Len,14,crc16,46516
2024-07-16T19:49:39.615,FE, 6, 0, 0,57,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,6,start_stop,1,,sig ,Len,14,crc16,57381
2024-07-16T19:49:39.616,FE, 6, 0, 0,58,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,4,target_system,1,target_component,1,req_stream_id,11,start_stop,1,,sig ,Len,14,crc16,23515
2024-07-16T19:49:39.616,FE, 6, 0, 0,59,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,4,target_system,1,target_component,1,req_stream_id,11,start_stop,1,,sig ,Len,14,crc16,3658
