2024-07-20T08:21:55.960,FD, 1, 0, 0,A6, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,43059
2024-07-20T08:21:56.085,FD, 1, 0, 0,A7, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,10636
2024-07-20T08:21:56.085,FD,1C, 0, 0,A8, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,822078,roll,0.03033241,pitch,-0.01348077,yaw,-1.507608,rollspeed,0.001446781,pitchspeed,-3.734762E-05,yawspeed,-0.000220873,,sig ,Len,40,crc16,3229
2024-07-20T08:21:56.210,FD,12, 0, 0,A9, 1, 1,    4A,mavlink_vfr_hud_t,airspeed,0,groundspeed,0.03156166,alt,281.9823,climb,0.06845129,heading,273,throttle,0,,sig ,Len,30,crc16,37812
2024-07-20T08:21:56.210,FD,20, 0, 0,AA, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,822141,q1,0.7290647,q2,0.006445393,q3,-0.01526819,q4,-0.6842442,rollspeed,0.001685665,pitchspeed,0.003292175,yawspeed,-0.0007920989,repr_offset_q,,,sig ,Len,44,crc16,15867
2024-07-20T08:21:56.210,FD, 1, 0, 0,AB, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,4846
2024-07-20T08:21:56.304,FD, 1, 0, 0,AC, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,36576
2024-07-20T08:21:56.304,FD,1C, 0, 0,AD, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,822321,roll,0.03038735,pitch,-0.01347556,yaw,-1.507477,rollspeed,-0.0009648637,pitchspeed,-0.0004634109,yawspeed,0.0003043815,,sig ,Len,40,crc16,14643
2024-07-20T08:21:56.413,FD, 1, 0, 0,AE, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,34191
2024-07-20T08:21:56.571,FD,1C, 0, 0,AF, 1, 1,    21,mavlink_global_position_int_t,time_boot_ms,822474,lat,295981230,lon,1063014568,alt,281991,relative_alt,155,vx,2,vy,0,vz,-6,hdg,27363,,sig ,Len,40,crc16,11674
2024-07-20T08:21:56.571,FD, 1, 0, 0,B0, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,61178
2024-07-20T08:21:56.571,FD,20, 0, 0,B1, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,822501,q1,0.7291691,q2,0.006478752,q3,-0.01531635,q4,-0.6841315,rollspeed,-0.0008187364,pitchspeed,0.0004397617,yawspeed,0.001246021,repr_offset_q,,,sig ,Len,44,crc16,63852
2024-07-20T08:21:56.571,FD,1C, 0, 0,B2, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,822560,roll,0.03041962,pitch,-0.01351763,yaw,-1.507191,rollspeed,-0.002205265,pitchspeed,0.001786863,yawspeed,0.001336445,,sig ,Len,40,crc16,24792
2024-07-20T08:21:56.683,FD,33, 0, 0,B4, 1, 1,    55,mavlink_position_target_local_ned_t,time_boot_ms,822574,x,NaN,y,NaN,z,NaN,vx,NaN,vy,NaN,vz,NaN,afx,0,afy,0,afz,100,yaw,-1.507179,yaw_rate,0,type_mask,63,coordinate_frame,1,,sig ,Len,63,crc16,18513
2024-07-20T08:21:56.683,FD,2A, 0, 0,B5, 1, 1,    41,mavlink_rc_channels_t,time_boot_ms,822564,chan1_raw,1495,chan2_raw,1511,chan3_raw,1056,chan4_raw,1502,chan5_raw,1499,chan6_raw,1065,chan7_raw,1065,chan8_raw,1065,chan9_raw,1065,chan10_raw,1932,chan11_raw,1542,chan12_raw,1542,chan13_raw,1514,chan14_raw,1514,chan15_raw,1514,chan16_raw,1514,chan17_raw,998,chan18_raw,998,chancount,18,rssi,45,,sig ,Len,54,crc16,24309
2024-07-20T08:21:56.683,FD, 1, 0, 0,B6, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,62283
2024-07-20T08:21:56.683,FD, 1, 0, 0,B7, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,29428
2024-07-20T08:21:56.762,FD, 9, 0, 0,B8, 1, 1,     0,mavlink_heartbeat_t,custom_mode,67371008,type,2,autopilot,12,base_mode,29,system_status,3,mavlink_version,3,,sig ,Len,21,crc16,40557
2024-07-20T08:21:56.794,FD,1C, 0, 0,B9, 1, 1,    1E,mavlink_attitude_t,time_boot_ms,822794,roll,0.03042857,pitch,-0.0133751,yaw,-1.506976,rollspeed,-0.002298043,pitchspeed,-0.001171664,yawspeed,-0.001275314,,sig ,Len,40,crc16,58144
2024-07-20T08:21:56.794,FD,24, 0, 0,BA, 1, 1,    53,mavlink_attitude_target_t,time_boot_ms,822808,q,,body_roll_rate,-0.1978177,body_pitch_rate,0.08712052,body_yaw_rate,-0.000579817,thrust,0.001,type_mask,0,,sig ,Len,48,crc16,64647
2024-07-20T08:21:56.794,FD, 1, 0, 0,BB, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,18838
2024-07-20T08:21:56.889,FD, 6, 0, 0, F,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,2,start_stop,1,,sig ,Len,18,crc16,2343
2024-07-20T08:21:56.889,FD, 6, 0, 0,10,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,2,start_stop,1,,sig ,Len,18,crc16,26332
2024-07-20T08:21:56.889,FD, 6, 0, 0,11,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,6,start_stop,1,,sig ,Len,18,crc16,16
2024-07-20T08:21:56.889,FD, 6, 0, 0,12,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,6,start_stop,1,,sig ,Len,18,crc16,3815
2024-07-20T08:21:56.889,FD, 6, 0, 0,13,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,4,target_system,1,target_component,1,req_stream_id,11,start_stop,1,,sig ,Len,18,crc16,44280
2024-07-20T08:21:56.889,FD, 6, 0, 0,14,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,4,target_system,1,target_component,1,req_stream_id,11,start_stop,1,,sig ,Len,18,crc16,46267
2024-07-20T08:21:56.889,FD, 6, 0, 0,15,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,12,start_stop,1,,sig ,Len,18,crc16,26078
2024-07-20T08:21:56.889,FD, 6, 0, 0,16,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,12,start_stop,1,,sig ,Len,18,crc16,27433
2024-07-20T08:21:56.889,FD, 6, 0, 0,17,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,1,start_stop,1,,sig ,Len,18,crc16,37371
2024-07-20T08:21:56.889,FD, 6, 0, 0,18,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,1,start_stop,1,,sig ,Len,18,crc16,42192
2024-07-20T08:21:56.889,FD, 6, 0, 0,19,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,3,start_stop,1,,sig ,Len,18,crc16,5317
2024-07-20T08:21:56.889,FD, 6, 0, 0,1A,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,1,target_component,1,req_stream_id,3,start_stop,1,,sig ,Len,18,crc16,6706
2024-07-20T08:21:56.905,FD,20, 0, 0,BC, 1, 1,    1F,mavlink_attitude_quaternion_t,time_boot_ms,822853,q1,0.7293012,q2,0.006511372,q3,-0.01531641,q4,-0.6839905,rollspeed,0.001638102,pitchspeed,-0.004661961,yawspeed,0.003299356,repr_offset_q,,,sig ,Len,44,crc16,41855
2024-07-20T08:21:56.905,FD,38, 0, 0,BD, 1, 1,    F2,mavlink_home_position_t,latitude,295981215,longitude,1063014580,altitude,281836,x,-13.07644,y,-7.458646,z,13.52032,q,,approach_x,0,approach_y,0,approach_z,0,time_usec,819776624,,sig ,Len,68,crc16,56672
2024-07-20T08:21:56.905,FD, 1, 0, 0,BE, 1, 1,    2A,mavlink_mission_current_t,seq,0,total,0,mission_state,0,mission_mode,0,,sig ,Len,13,crc16,57079
2024-07-20T08:21:56.905,FE, 9, 0, 0,1B,FF,BE,     0,mavlink_heartbeat_t,custom_mode,0,type,6,autopilot,8,base_mode,0,system_status,0,mavlink_version,3,,sig ,Len,17,crc16,63650
2024-07-20T08:21:57.016,FE, 9, 0, 0,5E,33,44,    6D,mavlink_radio_status_t,rxerrors,806,fixed,0,rssi,121,remrssi,112,txbuf,100,noise,68,remnoise,38,,sig ,Len,17,crc16,13243
2024-07-20T08:21:57.032,FD,12, 0, 0,BF, 1, 1,    4A,mavlink_vfr_hud_t,airspeed,0,groundspeed,0.02428317,alt,282.0206,climb,0.05647711,heading,273,throttle,0,,sig ,Len,30,crc16,38361
